id,question_id,selected_option,reason_text
115,80,A,我怕把同一个坑踩两遍，分手后总要把自己审个明白。
116,80,B,复盘一次疼一次，不如装失忆直接翻篇。
117,80,B,复盘半个月，结论就四个字：就是不合适。
118,80,B,我把日程塞满，专治分手后的胡思乱想。
119,80,B,自责循环我玩不起，想一次疼一次，不如装死前进。
120,80,B,我不想把分手开成批斗会，难过够了就直接往前走。
121,81,A,我妈反对我爸后来最恩爱，我偏要拿这赌一把。
122,81,A,谈恋爱的人是我，他们的意见只能当参考题。
123,81,A,我为反对分过手，后悔劲够喝好几年。
124,81,A,父母盯着户口房车，我盯着的是这个人。
125,81,A,我先把人谈稳，家里那关以后再磨。
126,81,B,我爸妈不会害我，他们看人的角度比我冷静。
127,81,B,我谈过一段父母强烈反对的感情，后来证明他们是对的。
128,81,B,不被祝福的婚姻真的很难走，我不想以后夹在中间。
129,81,B,嘴上嫌管，说到人品雷区，我腿比嘴诚实。
130,81,B,我嘴硬心软，父母盯人那套准得可怕。
131,84,A,每次被问有没有对象我都想钻进地里，太尴尬了。
132,84,A,我妈一年问三百遍，比闹钟还准时。
133,84,A,我宁愿被问工资，也不想被催婚。
134,84,A,亲戚们那种'关心'的眼神我根本招架不住。
135,84,A,有没有对象关他们什么事，但当面又不好意思怼回去。
136,84,B,工资这个问题我更不想答，说高了被借钱，说低了被看不起。
137,84,B,我宁愿被问有没有对象，至少可以敷衍过去。
138,84,B,工资多少是我的隐私，被追问真的很不舒服。
139,84,B,亲戚问工资的时候，我总感觉在被比较。
140,84,B,我没对象还可以说在找，工资低了是真的丢脸。
141,86,A,如果是急事救命钱，我二话不说就转。
142,86,A,我会借，但会写好借条，亲兄弟还明算账。
143,86,A,看关系深浅，也看金额大小，借出去的钱我就当送他了。
144,86,A,上次朋友生病住院，我借了他两万，他分期还我，现在关系还是很好。
145,86,A,我可以借，但会跟他说清楚什么时候还，不然我心里也不舒服。
146,86,B,我借过朋友钱，结果友情没了，钱也要不回来。
147,86,B,我在钱上吃过亏，宁可显得小气，也不再拿友情冒险。
148,86,B,我可以请他吃饭、帮他想办法，但直接借钱我会犹豫。
149,86,B,我试过借出去三千，要了三年才要回来，从此不再借。
150,86,B,除非人命关天，否则我宁愿送他几百块，也不借大额。
151,89,A,我怕当电灯泡，朋友一恋爱，我就会识趣地往后退。
152,89,A,他要把时间分给对象，我不好总打扰。
153,89,A,有了对象的人话题也会变，我们慢慢就聊不到一起了。
154,89,A,我不想当电灯泡，所以主动退后了一步。
155,89,A,我不是不在乎朋友，只是不想挤进她谈恋爱后的新生活。
156,89,B,谁恋爱就蒸发谁心虚，我才不识趣让位。
157,89,B,我最好的朋友结婚后，我们还是每周视频。
158,89,B,我占有欲没那么强，她谈恋爱，也不耽误我继续当闺蜜。
159,89,B,她谈恋爱我还替她开心，见面少但感情没变。
160,89,B,如果因为对象就疏远朋友，那这段友情本来也不牢。
161,90,A,我上次失恋的时候，朋友就是帮我一条条分析，让我从牛角尖里走出来。
162,90,A,光陪着听解决不了问题，她反复说同样的话，我会帮她梳理清楚。
163,90,A,我这人爱管闲事，她哭完以后，我非得替她把利弊掰清楚。
164,90,A,我就是直男脑，朋友哭我也先摊利弊。
165,90,A,她找我肯定希望我给她点方向，不然找别人吐槽不也一样。
166,90,B,我失恋那次，有个朋友什么都没说，就坐在我身边递纸巾，那个瞬间我记到现在。
167,90,B,人在难过的时候听不进道理，先让她哭完再说。
168,90,B,我嘴笨不会劝，朋友难过时，我能做的就是一直坐在旁边。
169,90,B,我以前给过建议，结果她和好了还怪我当初说她前任坏话。
170,90,B,我觉得最好的陪伴就是让她知道，无论她说什么我都在。
171,109,A,我气头上的时候根本管不住嘴，说完就后悔。
172,109,A,我知道伤感情，但情绪上来了智商就是零。
173,109,A,我跟我妈一模一样，吵架专挑最狠的说。
174,109,A,每次吵完我都想抽自己，但下次还是忍不住。
175,109,A,我试过忍，但忍到后面爆发得更厉害。
176,109,B,我从小看到父母说狠话互相伤害，所以我发誓不这样。
177,109,B,伤人的话一旦说出口就回不去了，我再生气也会克制。
178,109,B,我会先沉默一会儿，等情绪过了再说话。
179,109,B,我前任就是因为我说了一句狠话彻底心寒的，从那以后我学会了闭嘴。
180,109,B,我从小听够了狠话，再生气，我也不想变成伤人的那个人。
181,110,A,我宁愿大吵一架，把话说清楚，也不想猜来猜去。
182,110,A,冷战太煎熬了，不知道对方在想什么更可怕。
183,110,A,我最怕猜来猜去，哪怕吵得难看，至少问题摆在桌面上。
184,110,A,我讨厌那种压抑的气氛，宁可爆发。
185,110,A,我妈和我爸就是冷战高手，我受够了这种家庭氛围。
186,110,B,我嘴一快就后悔，宁可先冷着，也不想说出收不回的话。
187,110,B,我需要时间冷静，情绪上头的时候说什么都伤人。
188,110,B,我没力气收拾大吵后的残局，沉默一阵反而更省心。
189,110,B,我习惯一个人待着消化情绪，等想好了再沟通。
190,110,B,比起激烈的争吵，沉默至少还能保留体面。
191,113,A,我失恋后一个人旅行、搬家、换工作，用新生活盖住旧回忆。
192,113,A,干等治不好，我得拿新热闹把自己灌满。
193,113,A,我给自己报了健身课，累到没力气想他。
194,113,A,我逃避情绪的办法很俗：把日程塞满，不给自己想他的空。
195,113,A,我不信等着会自动痊愈，换个城市、换群人，我才喘得过气。
196,113,B,我难过的时候必须找人说出来，不然会憋坏。
197,113,B,朋友的安慰不能让我立刻好，但至少不那么孤单。
198,113,B,我失恋那一周，每天晚上找闺蜜打电话哭。
199,113,B,我以为自己特别惨，跟朋友说完才发现，谁还没哭过几晚。
200,113,B,我不需要她替我解决什么，电话那头有人，我就没那么慌。
201,115,A,我会不自觉地拿他的家庭跟我家比，比如他爸妈相处的方式。
202,115,A,我爸妈关系不好，我总觉得他像极了我爸。
203,115,A,原生家庭的影响太隐蔽了，我后来才发现我一直在复制。
204,115,A,我会观察他和他妈怎么说话，那可能就是以后的我们。
205,115,A,不是刻意比较，是有些细节太像了，忍不住联系起来。
206,115,B,我特别讨厌连坐，他父母的毛病，凭什么直接算到他头上。
207,115,B,我选的是这个人，不是他的原生家庭。
208,115,B,我不想拿父母那套模板套他，爱的是这个人，不是复制品。
209,115,B,我爸妈挺好的，但我从没想过要找一个像我爸的人。
210,115,B,我很现实，只看他现在怎么待我，不替他的家庭背景买单。
211,126,A,看到前任有了新恋情，我第一反应就是赶紧划走，不想给自己找难受。
212,126,A,那种心口突然被攥紧的感觉太熟悉了，我不想再体验。
213,126,A,我已经花了很久才走出来，不想因为一条动态前功尽弃。
214,126,A,划走不是不在乎，是太在乎了所以要保护自己。
215,126,A,他的新生活和我没关系，看了只会胡思乱想。
216,126,B,我承认我忍不住会点进去看，虽然看完会难受。
217,126,B,我想知道他过得好不好，是不是比我好。
218,126,B,我就是好奇得要命，明知道点进去会疼，手还是不听话。
219,126,B,他发新对象照片那天，我把手机都刷没电了。
220,126,B,我知道不该看，但手就是不受控制。
221,127,A,我想先见一面聊聊，看看他是真的想复合还是一时冲动。
222,127,A,我想当面听他说完，隔着手机，我总怀疑有些话没说透。
223,127,A,我不会直接答应，但也不想直接关上门。
224,127,A,见一面不是要给机会，是给自己一个交代。
225,127,A,我想知道分开这段时间，他有没有变。
226,127,B,复合过一次，后来还是同样的原因分手，我不想再来一次。
227,127,B,他能说出口，但我未必能忘记之前的事。
228,127,B,我花了很大力气才走出来，不想再陷回去。
229,127,B,我记仇，分手时受过的那些委屈，不会被一句想你了抹掉。
230,127,B,我怕自己一见面就心软，所以连喝杯咖啡的机会都不给。
231,128,A,我会提前想好一套标准答案，比如'在找了在找了'。
232,128,A,被催婚太多次，我已经训练出了条件反射。
233,128,A,我会准备几个笑话转移话题，避免正面回答。
234,128,A,提前想好怎么应付，过年才能过得轻松点。
235,128,A,我爱面子，会把工资往低了报，免得亲戚顺着数字盘问。
236,128,B,我懒得想，他们问什么我随便应付两句。
237,128,B,每次临场发挥，反正也就那几句话。
238,128,B,我直接说'看缘分'，然后低头吃饭。
239,128,B,我不怕他们问，问烦了我就假装接电话走开。
240,128,B,临场发挥更有趣，看他们能问到什么程度。
241,129,A,我恋爱第一天就告诉我妈了，忍不住想分享。
242,129,A,我藏不住恋爱，喜欢上一个人，连吃饭时都想告诉我妈。
243,129,A,我妈还会帮我分析，虽然她分析的不一定对。
244,129,A,我分享欲很强，根本憋不住。
245,129,A,告诉父母也是一种认真，说明我不是玩玩。
246,129,B,我想等感情稳定了再说，不然万一分手很尴尬。
247,129,B,父母知道了会问东问西，我想有自己的空间。
248,129,B,上一段我刚说没多久就分手了，被我妈念叨了一年。
249,129,B,我觉得感情是两个人的事，不需要太早让家人介入。
250,129,B,我怕父母问得比我还认真，没走稳之前，谁也不想告诉。
251,130,A,我没什么是不能给他看的，直接给，免得他多想。
252,130,A,我觉得情侣之间看手机很正常，反正我也没什么秘密。
253,130,A,他愿意给我看，我也愿意给他看，这样比较公平。
254,130,A,我没什么秘密，也懒得解释，手机递过去，大家都省心。
255,130,A,我又没聊什么不该聊的，看就看呗。
256,130,B,手机是我的私人空间，即使是伴侣也不该随便看。
257,130,B,他要看我手机，我会觉得他不够信任我。
258,130,B,我有和闺蜜的聊天记录，不想被他看到。
259,130,B,我最烦被查岗，手机一旦交出去，信任就像变成了考试。
260,130,B,我前任就爱翻我手机，那段关系让我很窒息。
261,131,A,我会追出去，不想让他在情绪里一个人待着。
262,131,A,门摔上的那一刻我太慌了，怕他就这样不回来了。
263,131,A,我追出去不是认输，我只是怕那扇门关上后再也打不开。
264,131,A,我受不了被丢下，尤其是在吵架的时候。
265,131,A,有一次我没追，他真的一夜没回来，我后悔死了。
266,131,B,我越着急越容易把话说坏，他摔门时，我反而不敢追。
267,131,B,他需要空间，我逼太紧他会更想逃。
268,131,B,我在气头上也不想说话，各冷静一下更好。
269,131,B,我不爱当街拉扯，等两个人的火都灭了，话才说得进去。
270,131,B,我追出去过一次，他更生气了，说需要我别跟着他。
271,132,A,我会去，不是为了他，是为了给自己一个了结。
272,132,A,我想看看他最后选择了什么样的人。
273,132,A,去一趟，我才不怕以后半夜后悔。
274,132,A,我要去笑一场，证明给自己看：我不疼了。
275,132,A,共同朋友一堆，我躲着倒像还爱，这口气咽不下。
276,132,B,我没那么大度，看到他的婚礼我会崩溃。
277,132,B,何必去给自己找难受，找个理由推掉就好。
278,132,B,他发请柬给我，我觉得更像是在炫耀。
279,132,B,我会祝福他，但不会亲眼看着他说誓词。
280,132,B,去了我会哭，不想去丢人。
281,133,A,我不喜欢一个人逞强，真成了伴侣，麻烦就该一起扛。
282,133,A,我依赖感很强，倒霉的时候他在旁边，我才敢继续往前。
283,133,A,我遇事容易慌，多一个人陪我想办法，心里就先稳一半。
284,133,A,我上次失业就是他陪我熬过来的，我觉得这才是伴侣的意义。
285,133,A,我不想一个人硬撑，有他分担我会更有勇气。
286,133,B,我习惯自己先解决，不想让他担心。
287,133,B,有些事说出来只会多一个人焦虑，不如我先处理好。
288,133,B,我不喜欢把焦虑分给别人，自己的烂摊子，我先自己收。
289,133,B,我先解决了再告诉他，这样他不用跟着我烦恼。
290,133,B,我不想让他觉得我在依赖他。
291,134,A,见一面又不会少块肉，说不定有惊喜。
292,134,A,我妈已经唠叨半年了，见一下让她死心。
293,134,A,我对相亲没偏见，能让我妈看上的人，我也会好奇一下。
294,134,A,我不排斥相亲，就当认识个朋友。
295,134,A,拒绝太多次，家里气氛会很僵。
296,134,B,我不想因为父母的压力去应付一场见面。
297,134,B,相亲太像交易了，我接受不了。
298,134,B,我有自己喜欢的人，见别人没意思。
299,134,B,见了没结果，回去还要被追问，烦。
300,134,B,感情的事我想自己决定。
301,135,A,单独吃饭在我心里就是约会，我不能装大度。
302,135,A,他要是提前告诉我，我还能接受；偷偷去就不行。
303,135,A,我前任就是这么出轨的，我真的会多想。
304,135,A,我占有欲就是强，伴侣和异性单独吃饭，我装不了大方。
305,135,A,我也会尽量避免和异性单独吃饭，互相尊重。
306,135,B,谁还没几个异性朋友，吃个饭怎么了。
307,135,B,他要真有什么，也不会让我知道。
308,135,B,我不想靠管人留住感情，他真想走，我盯再紧也没用。
309,135,B,我自己也有异性朋友单独吃过饭，不能双标。
310,135,B,我很怕窒息，恋爱一旦变成报备比赛，我会第一个逃跑。
311,136,A,嘴上说不关心，其实心里特别想知道他过得怎么样。
312,136,A,我不会主动打听，但有人说起我就不想错过。
313,136,A,问了才能确认，我真的放下了。
314,136,A,我想知道他有没有新对象，是不是比我好。
315,136,A,朋友一提他就竖耳朵，嘴里哦一声心里演完八集。
316,136,B,越听越难受，不如不听。
317,136,B,我嘴硬也惜命，前任的消息多听一句，我就会多失眠一晚。
318,136,B,我怕问多了朋友觉得我还没放下。
319,136,B,我不想让那些回忆再翻出来。
320,136,B,每次听到他的消息，我都会好几天睡不好。
321,137,A,他好久不回消息的时候，我会反复想他是不是不爱我了。
322,137,A,被冷落的感觉比吵架难受一百倍。
323,137,A,我宁愿他跟我吵，也不愿意他晾着我。
324,137,A,我需要知道他在意我，不然会很不安。
325,137,A,他忙到一整天没消息，我会觉得自己像单身。
326,137,B,恋爱不是找个人看着我，我需要自己的空间。
327,137,B,他什么都管，我会觉得窒息。
328,137,B,我以前被管到连穿什么衣服都要问，那段关系让我很累。
329,137,B,冷落一下我可以接受，但被控制我会想逃。
330,137,B,我希望他相信我，而不是查岗。
331,138,A,我不喜欢还要装喜欢，太累了。
332,138,A,我不擅长演开心，不喜欢就是不喜欢，早点说反而省事。
333,138,A,我又不是演员，表情根本藏不住。
334,138,A,我宁可当一次扫兴的人，也不想以后每次收礼物都假笑。
335,138,A,我会委婉地说，但肯定不会骗他。
336,138,B,他花了心思挑的，直接说太伤人。
337,138,B,我很吃心意这套，礼物再不合口味，只要他认真挑了就行。
338,138,B,我不想让他觉得自己不会买东西。
339,138,B,说出来以后他可能就不送了，更亏。
340,138,B,我演技很好，他能开心就行。
341,139,A,我认死理，谁做错谁道歉，不能拿一句爱你就把账抹平。
342,139,A,我没错为什么要先低头？惯出来的毛病。
343,139,A,我怕坏习惯被惯出来，这次不分清对错，下次还会重演。
344,139,A,我前任从来不认错，最后我实在受不了。
345,139,A,我不把道歉当示弱，做错了还嘴硬，才是真的丢人。
346,139,B,吵完架谁先说话谁就赢了，我熬不住。
347,139,B,我没耐心争输赢，两个人还想过下去，就得有人先开口。
348,139,B,我常常是那个忍不住的人，我不觉得丢人。
349,139,B,他嘴硬，我再硬就僵死了。
350,139,B,我就是更在乎的那个，先说话有点委屈，但冷着更难受。
351,140,A,那个赞让我一晚上没睡好。
352,140,A,我会翻遍他最近的朋友圈，看他是不是还单身。
353,140,A,他是不是想复合？还是手滑？
354,140,A,我甚至会想，要不要回赞他一条。
355,140,A,一个赞能让我脑补出一整部戏。
356,140,B,我不想再给过去加戏，一个赞而已，连句问候都算不上。
357,140,B,我都放下了，他还在不在我朋友圈我都无所谓。
358,140,B,我戒掉脑补很久了，他真想回来，不会只留下一个赞。
359,140,B,我不会为了一个赞再让自己情绪波动。
360,140,B,真要有话他早就直接找我了。
361,141,A,我想他就直接说，憋着干嘛。
362,141,A,看他被甜到那一瞬，我比他还得意。
363,141,A,我每天都发，已经形成肌肉记忆。
364,141,A,我脸皮厚，想他就说想他，憋成内伤才是真的亏。
365,141,A,有时候说完自己也会不好意思，但还是要说。
366,141,B,想他也说不出口，太肉麻，我脸皮薄。
367,141,B,我更倾向于用行动表示，比如去找他。
368,141,B,我很怕甜话说多了变便宜，所以想念通常都藏在行动里。
369,141,B,我怂，他先说想我，我才敢回一句。
370,141,B,小时候家里没人说这种话，我习惯了藏着。
371,142,A,我赚得还行，没什么好藏的。
372,142,A,说实话反而没人继续追问了。
373,142,A,我爸妈知道我工资，亲戚问也无所谓。
374,142,A,我不喜欢撒谎，累。
375,142,A,说个大概数字，他们爱怎么想怎么想。
376,142,B,说多了他们借钱，说少了他们看不起。
377,142,B,我工资不高，说出来要被比较一圈。
378,142,B,我就说我够花，他们也没法继续问。
379,142,B,亲戚问工资又不是真关心我，敷衍一下就行。
380,142,B,我会把话题转移到他们孩子身上。
381,143,A,他骂前任的时候，我当然要站他这边。
382,143,A,我护短，一起骂前任，我俩才像一伙的。
383,143,A,我护短，他肯把难堪说给我听，我就先站到他那边。
384,143,A,我也跟着骂两句，他心里会好受点。
385,143,A,前任作的，我跟着骂两句，心里才痛快。
386,143,B,他总提前任，我会觉得他还没放下。
387,143,B,我不想成为他抱怨前任的情绪垃圾桶。
388,143,B,我最怕被当情绪垃圾桶，他骂得越久，我越想赶紧结束话题。
389,143,B,我更想听他说我们之间的事。
390,143,B,他骂得越狠，我越担心他其实还在意。
391,144,A,我又没做错什么，干嘛要躲。
392,144,A,我偏要大方打招呼，像在说：你看我不狼狈。
393,144,A,我有点爱面子，越假装没看见，越像在告诉他我还在意。
394,144,A,我们分手不算难看，见面还能客气一下。
395,144,A,我不想让他觉得我还躲着他。
396,144,B,看见他我心脏会停一拍，还是装没看见吧。
397,144,B,打了招呼不知道该说什么，更尴尬。
398,144,B,我怕一开口就暴露我还没放下。
399,144,B,他旁边要是有新对象，我更不想过去。
400,144,B,我怕一句招呼又勾出旧事，装没看见，是我最后的体面。
401,146,A,等一次两次可以，每次都等我会爆炸。
402,146,A,我会明确告诉他，我的时间也很重要。
403,146,A,不说是我自己受气，说了他才知道改。
404,146,A,我因为迟到跟他吵过好几次。
405,146,A,他可以迟到，但要提前说。
406,146,B,说也没用，他就这样，我早就习惯了。
407,146,B,我会自己多预留半小时等他。
408,146,B,我懒得为迟到吵架，半小时换一天清净，我觉得挺划算。
409,146,B,他迟到的时候我就刷手机，不生气。
410,146,B,我甚至会故意晚一点出门，配合他的节奏。
411,147,A,我很叛逆，越反对，我越想证明自己没选错人。
412,147,A,我有点天真，总觉得只要我们够认真，父母迟早会松口。
413,147,A,我不想因为别人的反对就放弃喜欢的人。
414,147,A,我爸妈反对的理由我觉得很过时。
415,147,A,我们先偷偷谈，等稳定了再告诉他们。
416,147,B,父母看人的角度和我不同，我会重新想。
417,147,B,我很在意家人的祝福，一想到婚后夹在中间，我就想退。
418,147,B,我从小就听父母的话，他们认真反对时，我没法装听不见。
419,147,B,我怕吃爱情的苦，差距摆在那里，再喜欢也不敢硬撑。
420,147,B,我不想为了一个人和家里闹翻。
421,148,A,我很实用，围巾好不好戴，比是谁送的更重要。
422,148,A,那是他送的围巾，冬天该戴还是戴。
423,148,A,扔了还得再买，我抠门，好用就接着戴。
424,148,A,我用着用着就忘了是他送的。
425,148,A,我不爱给物品加戏，继续用他的东西，不等于还想他。
426,148,B,看到就会想起他，还是收起来吧。
427,148,B,我不会扔，但也不会再用了。
428,148,B,先塞进盒子，等心死了再处理，我拖得起。
429,148,B,我占有欲不小，换成现任留着前任的东西，我也会难受。
430,148,B,每次用都会心里咯噔一下，不如不用。
431,149,A,我需要他亲口说'我喜欢你'，不然我不踏实。
432,149,A,暧昧期最折磨我，确定关系那句话很重要。
433,149,A,我安全感不够，非得听他亲口说喜欢，才敢相信不是暧昧。
434,149,A,他说'我爱你'的时候，我会记很久。
435,149,A,我不擅长猜，直接告诉我最好。
436,149,B,一句'记得带伞'比一百句'我爱你'更打动我。
437,149,B,我不太信嘴上的爱，他记得我不吃香菜，比表白更让我安心。
438,149,B,他记得我不吃香菜，比说爱我更让我感动。
439,149,B,我不需要他天天说爱，但我需要他在。
440,149,B,光说爱的人我见多了，不如记得我不吃香菜。
441,150,A,她都哭成这样了，不分留着过年？
442,150,A,我看她在这段关系里太委屈了。
443,150,A,劝和的话，下次她又来找我哭怎么办。
444,150,A,我会帮她分析，最后让她自己决定。
445,150,A,我劝分很狠，因为有些委屈听到第三遍，我就没耐心了。
446,150,B,他们吵架的时候我说分，和好了我多尴尬。
447,150,B,我怕劝错后里外不是人，感情的账，还是让她自己算。
448,150,B,我总想给感情再留一次机会，哪怕最后还是同样的结局。
449,150,B,分不分是她的事，我只负责听。
450,150,B,我见过太多劝分的朋友最后自己打脸。
451,151,A,这么重要的日子都忘了，我必须让他知道我不高兴。
452,151,A,我不说他永远不知道我有多在意。
453,151,A,装不在意我心里会憋屈，还不如爆发。
454,151,A,我会直接告诉他，今天我生日。
455,151,A,他忘了我就冷战，直到他意识到。
456,151,B,说出来像是在讨礼物，我觉得很没劲。
457,151,B,他可能最近太忙了，我不想增加压力。
458,151,B,装作不在意，其实心里记账。
459,151,B,我会暗示他，但不会明说。
